Rank,Name,Platform,Market Cap,Price,Circulating Supply,Volume(24h),% 1h,% 24h,% 7d
1,"
Tether",Ethereum,"$81,457,119,076",$1.00,"81,451,868,888 USDT *","$21,892,704,134",0.04%,-0.02%,-0.01%
2,"
USD Coin",Ethereum,"$30,799,471,427",$0.9999,"30,799,972,706 USDC *","$3,680,449,739",0.03%,-0.01%,0.04%
3,"
Binance USD",BNB Beacon Chain (BEP2),"$6,442,726,630",$0.9996,"6,445,097,630 BUSD *","$2,152,710,564",0.00%,-0.07%,-0.06%
4,"
Shiba Inu",Ethereum,"$6,048,889,219",$0.00001026,"589,544,997,722,486 SHIB *","$125,096,600",-0.04%,-1.68%,-10.97%
5,"
Dai",Ethereum,"$4,961,634,608",$0.9988,"4,967,412,399 DAI *","$85,257,186",-0.02%,-0.20%,-0.10%
6,"
Wrapped Bitcoin",Ethereum,"$4,229,372,753","$27,408.02","154,311 WBTC *","$98,657,763",-0.17%,-1.20%,-8.66%
7,"
Chainlink",Ethereum,"$3,664,288,550",$7.09,"517,099,970 LINK *","$216,893,499",0.13%,-0.67%,-13.02%
8,"
UNUS SED LEO",Ethereum,"$3,252,848,048",$3.50,"930,573,890 LEO *","$673,872",-0.24%,-0.69%,1.97%
9,"
Uniswap",Ethereum,"$3,107,268,249",$5.38,"577,501,036 UNI *","$74,086,290",-0.31%,-2.61%,-13.17%
10,"
OKB",Ethereum,"$2,730,074,991",$45.50,"60,000,000 OKB *","$25,420,700",-1.23%,-4.44%,-12.91%
11,"
Internet Computer",,"$2,288,619,063",$5.27,"433,977,094 ICP *","$27,317,096",-0.76%,-5.47%,-14.47%
12,"
TrueUSD",Ethereum,"$2,133,369,012",$0.9994,"2,134,747,937 TUSD *","$1,274,695,658",-0.04%,-0.20%,-0.13%
13,"
Aptos",Aptos,"$1,894,176,907",$10.06,"188,224,974 APT *","$156,770,375",0.18%,-2.00%,-19.24%
14,"
Lido DAO",Ethereum,"$1,810,387,930",$2.07,"873,380,407 LDO *","$39,808,285",0.95%,-0.85%,-18.03%
15,"
Cronos",Ethereum,"$1,693,116,570",$0.06702,"25,263,013,692 CRO *","$11,235,161",0.05%,-2.58%,-6.48%
16,"
Arbitrum",Arbitrum,"$1,663,919,841",$1.31,"1,275,000,000 ARB *","$725,593,020",-0.93%,-9.69%,-20.05%
17,"
ApeCoin",Ethereum,"$1,458,457,598",$3.96,"368,593,750 APE *","$75,075,541",0.42%,-1.11%,-12.77%
18,"
Quant",Ethereum,"$1,338,722,038",$110.89,"12,072,738 QNT *","$16,091,471",-0.44%,-2.68%,-6.83%
19,"
The Graph",Ethereum,"$1,211,084,678",$0.1355,"8,937,690,024 GRT *","$30,973,479",-0.24%,-3.28%,-17.58%
20,"
The Sandbox",Ethereum,"$1,056,022,031",$0.5801,"1,820,281,926 SAND *","$79,902,987",-0.30%,-3.29%,-15.71%
21,"
Decentraland",Ethereum,"$1,035,761,463",$0.5514,"1,878,271,532 MANA *","$63,941,711",-0.21%,-3.19%,-16.55%
22,"
Aave",Ethereum,"$994,723,119",$69.24,"14,366,263 AAVE *","$38,796,208",-0.18%,-2.18%,-15.37%
23,"
Pax Dollar",Ethereum,"$965,024,503",$0.9954,"969,514,797 USDP *","$21,998,231",0.01%,-0.66%,-0.46%
24,"
BitDAO",Ethereum,"$913,041,577",$0.4952,"1,843,669,912 BIT *","$3,737,826",0.04%,-1.65%,-9.11%
25,"
Axie Infinity",Ethereum,"$899,375,973",$7.75,"115,987,103 AXS *","$29,829,765",-0.21%,-3.40%,-15.37%
26,"
Rocket Pool",Ethereum,"$880,359,159",$45.55,"19,329,236 RPL *","$9,554,210",-0.50%,-2.48%,-21.86%
27,"
Immutable",Ethereum,"$872,875,225",$0.9548,"914,163,546 IMX *","$22,999,958",-0.11%,-2.67%,-17.68%
28,"
Chiliz",Ethereum,"$821,501,796",$0.1184,"6,938,646,158 CHZ *","$45,749,486",-0.28%,-3.25%,-12.95%
29,"
KuCoin Token",Ethereum,"$778,709,984",$8.01,"97,158,831 KCS *","$1,388,623",-0.07%,-1.90%,-10.00%
30,"
Curve DAO Token",Ethereum,"$748,702,995",$0.927,"807,647,103 CRV *","$66,086,429",-0.24%,-1.47%,-14.26%
31,"
USDD",Ethereum,"$716,709,395",$0.9881,"725,332,036 USDD *","$14,215,063",0.00%,-0.07%,-0.11%
32,"
Optimism",Optimism,"$690,193,589",$2.19,"314,844,141 OP *","$114,800,048",0.04%,-4.16%,-16.27%
33,"
Maker",Ethereum,"$667,309,508",$682.58,"977,631 MKR *","$20,966,028",-0.14%,-1.44%,-14.90%
34,"
Synthetix",Ethereum,"$629,254,397",$2.44,"258,384,717 SNX *","$27,553,335",-0.03%,-3.92%,-11.72%
35,"
Render Token",Ethereum,"$624,073,600",$1.71,"363,911,539 RNDR *","$108,008,451",-2.02%,-1.79%,-9.69%
36,"
PancakeSwap",BNB Smart Chain (BEP20),"$625,048,836",$3.26,"191,957,661 CAKE *","$33,497,707",-0.35%,-3.63%,-10.17%
37,"
GMX",Arbitrum,"$612,047,126",$70.74,"8,652,067 GMX *","$32,214,524",-0.69%,-5.40%,-18.08%
38,"
BitTorrent(New)",Tron20,"$611,750,595",$0.000000643,"951,421,714,286,000 BTT *","$17,877,079",-0.09%,-0.85%,2.58%
39,"
Huobi Token",Ethereum,"$584,441,193",$3.60,"162,233,844 HT *","$6,785,125",0.04%,0.33%,-8.52%
40,"
Frax Share",Ethereum,"$574,859,702",$8.03,"71,618,043 FXS *","$19,614,488",-0.48%,-1.42%,-20.82%
41,"
PAX Gold",Ethereum,"$538,053,503","$1,983.51","271,264 PAXG *","$7,371,649",0.10%,0.02%,-2.07%
42,"
Injective",Ethereum,"$518,397,846",$6.48,"80,005,555 INJ *","$103,089,814",-0.89%,-11.52%,-28.50%
43,"
GateToken",Ethereum,"$510,071,671",$5.22,"97,785,756 GT *","$385,077",-0.02%,0.22%,-6.21%
44,"
Trust Wallet Token",BNB Smart Chain (BEP20),"$491,705,446",$1.18,"416,649,900 TWT *","$16,138,475",-0.64%,-4.15%,-9.33%
45,"
Gemini Dollar",Ethereum,"$458,203,524",$1.00,"456,158,603 GUSD *","$617,539",0.08%,0.08%,1.45%
46,"
Loopring",Ethereum,"$447,576,415",$0.3362,"1,331,430,935 LRC *","$20,353,850",-0.30%,-3.73%,-16.54%
47,"
THORChain",BNB Beacon Chain (BEP2),"$444,035,853",$1.36,"325,520,008 RUNE *","$23,445,502",-0.16%,-1.84%,-17.25%
48,"
SingularityNET",Ethereum,"$413,568,384",$0.3405,"1,214,421,357 AGIX *","$30,413,793",-0.45%,-2.19%,-19.51%
49,"
Convex Finance",Ethereum,"$403,960,407",$5.27,"76,662,187 CVX *","$6,573,874",-0.84%,-2.33%,-13.16%
50,"
WOO Network",Ethereum,"$399,587,446",$0.2371,"1,685,415,658 WOO *","$55,344,234",-1.04%,-16.54%,-25.45%
51,1inch Network,Ethereum,"$394,873,248",$0.4845,"815,043,955 1INCH *","$15,619,983",-0.26%,-4.15%,-14.13%
52,"
Enjin Coin",Ethereum,"$385,048,564",$0.385,"1,000,000,000 ENJ *","$16,751,191",0.02%,-2.40%,-13.21%
53,"
Kava",Ethereum,"$378,001,127",$0.7688,"491,694,187 KAVA *","$10,938,887",0.07%,-0.96%,-18.02%
54,"
dYdX",Ethereum,"$375,929,091",$2.41,"156,256,174 DYDX *","$80,700,957",0.02%,-4.73%,-19.22%
55,"
Basic Attention Token",Ethereum,"$371,534,632",$0.2496,"1,488,615,298 BAT *","$20,105,710",-0.30%,-1.66%,-11.83%
56,"
Nexo",Ethereum,"$363,211,276",$0.6486,"560,000,011 NEXO *","$3,691,435",0.09%,-2.94%,-9.43%
57,"
Oasis Network",Ethereum,"$345,148,154",$0.06028,"5,725,718,533 ROSE *","$31,212,844",-0.71%,-6.05%,-17.71%
58,"
Ethereum Name Service",Ethereum,"$337,013,313",$11.89,"28,337,389 ENS *","$16,450,841",-0.07%,-2.49%,-15.95%
59,"
Mask Network",Ethereum,"$336,642,563",$4.54,"74,162,500 MASK *","$86,061,134",-0.60%,-2.59%,-19.52%
60,"
Holo",Ethereum,"$316,987,816",$0.001827,"173,467,411,324 HOT *","$18,543,455",0.79%,-2.32%,-13.17%
61,"
Ankr",Ethereum,"$308,417,650",$0.03084,"10,000,000,000 ANKR *","$26,189,856",-0.29%,-4.46%,-14.37%
62,"
Balancer",Ethereum,"$297,139,795",$6.04,"49,164,702 BAL *","$3,815,155",-0.14%,-3.39%,-14.95%
63,"
Compound",Ethereum,"$293,088,314",$39.36,"7,446,837 COMP *","$18,493,602",-0.13%,-1.67%,-13.57%
64,"
Audius",Ethereum,"$290,524,386",$0.2913,"997,315,329 AUDIO *","$38,500,664",-0.55%,-2.00%,-22.28%
65,"
Gnosis",Ethereum,"$276,452,113",$106.76,"2,589,588 GNO *","$2,166,531",0.46%,-0.76%,-11.90%
66,"
FLOKI",Ethereum,"$275,182,923",$0.00002834,"9,711,068,798,164 FLOKI *","$12,248,060",-0.21%,-4.65%,-27.33%
67,"
JasmyCoin",Ethereum,"$274,381,271",$0.005768,"47,569,999,999 JASMY *","$46,579,314",-0.16%,-3.43%,-13.95%
68,"
Threshold",Ethereum,"$274,109,936",$0.0318,"8,620,909,587 T *","$10,132,537",0.17%,-3.55%,-11.96%
69,"
Gala",Ethereum,"$273,813,004",$0.03924,"6,977,205,436 GALA *","$139,270,575",0.18%,-5.42%,-8.71%
70,"
yearn.finance",Ethereum,"$268,671,781","$8,149.30","32,969 YFI *","$16,055,359",-0.34%,-2.99%,-10.15%
71,"
ssv.network",Ethereum,"$266,667,788",$26.67,"10,000,000 SSV *","$19,098,039",0.53%,2.64%,-21.69%
72,"
Astar",,"$266,270,735",$0.05929,"4,491,228,616 ASTR *","$5,808,745",-0.28%,-2.96%,-17.12%
73,"
Blur",Ethereum,"$265,260,433",$0.593,"447,336,624 BLUR *","$66,869,038",-0.07%,-3.82%,-18.59%
74,"
MAGIC",Arbitrum,"$240,653,848",$1.12,"214,110,592 MAGIC *","$36,904,443",0.04%,-4.96%,-26.72%
75,"
SushiSwap",Ethereum,"$238,606,190",$1.04,"230,068,736 SUSHI *","$20,626,951",-0.16%,-1.85%,-11.97%
